filepath,label,original_split,label_id,split
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/test/ripe/musa-acuminata-banana-c6cef9c7-394a-11ec-8998-d8c4975e38aa_jpg.rf.898dba929a11d1f3e660b458a7e18d4e.jpg,ripe,test,1,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/unripe/musa-acuminata-freshunripe-6886c7f7-1d0a-11ec-96b2-d8c4975e38aa---Copy_jpg.rf.2ff4689ff5eecddf594d0ef383a60fa9.jpg,unripe,train,3,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/rotten/musa-acuminata-rotten-bdf0f160-1d0a-11ec-af44-d8c4975e38aa_jpg.rf.a2e4f71c06abbccc6ee7371a4e832ad7.jpg,rotten,train,2,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/overripe/musa-acuminata-overripe-7e4155f5-2653-11ec-8831-d8c4975e38aa_jpg.rf.b74b7c09ea6664fc79172677acc0e8de.jpg,overripe,train,0,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/overripe/musa-acuminata-overripe-7faf7a2f-2653-11ec-a215-d8c4975e38aa_jpg.rf.f4acfd1527b9de6c36d8bbbc225a2670.jpg,overripe,train,0,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/overripe/musa-acuminata-overripe-a16ef572-1d0a-11ec-ad02-d8c4975e38aa_jpg.rf.5b934a6a2bb08e99f567ef79840d6ec8.jpg,overripe,train,0,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/rotten/musa-acuminata-unripe-62da8c8d-2653-11ec-8af2-d8c4975e38aa---Copy_jpg.rf.14506e5424fb2aeff74965b6e36d3b65.jpg,rotten,train,2,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/rotten/musa-acuminata-rotten-b44f5746-1d0a-11ec-aab9-d8c4975e38aa_jpg.rf.7acf107248070e1ef7b64f025dc14cb7.jpg,rotten,train,2,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/rotten/musa-acuminata-rotten-b0b1d796-1d0a-11ec-86d0-d8c4975e38aa_jpg.rf.bbedc0a9408b8a8f69445316d1c49089.jpg,rotten,train,2,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/ripe/musa-acuminata-banana-e523ea60-394a-11ec-9168-d8c4975e38aa_jpg.rf.1efb44f53a52745d5ac64ab4839be579.jpg,ripe,train,1,train
/root/.cache/kagglehub/datasets/atrithakar/banana-classification/versions/1/banana_classification/train/unripe/musa-acuminata-freshunripe-6abf92bd-1d0a-11ec-8b7c-d8c4975e38aa_jpg.rf.edb66cf13a9b7a82c91135c877106114.jpg,unripe,train,3,train
